MARKET_RUN_ID,OPR_DT,OPR_HR,DATA_ITEM,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,VALUE,GROUP
DAM,2022-08-16,7,DAM_NET_VIRTUAL,2022-08-16T13:00:00-00:00,2022-08-16T14:00:00-00:00,749.92,2
DAM,2022-08-16,17,DAM_NET_VIRTUAL,2022-08-16T23:00:00-00:00,2022-08-17T00:00:00-00:00,-2701.7,2
DAM,2022-08-16,15,DAM_NET_VIRTUAL,2022-08-16T21:00:00-00:00,2022-08-16T22:00:00-00:00,-673.38,2
DAM,2022-08-16,13,DAM_NET_VIRTUAL,2022-08-16T19:00:00-00:00,2022-08-16T20:00:00-00:00,440.7,2
DAM,2022-08-16,9,DAM_NET_VIRTUAL,2022-08-16T15:00:00-00:00,2022-08-16T16:00:00-00:00,818,2
DAM,2022-08-16,22,DAM_NET_VIRTUAL,2022-08-17T04:00:00-00:00,2022-08-17T05:00:00-00:00,169.46,2
DAM,2022-08-16,3,DAM_NET_VIRTUAL,2022-08-16T09:00:00-00:00,2022-08-16T10:00:00-00:00,501.78,2
DAM,2022-08-16,15,DAM_SCHEDULE,2022-08-16T21:00:00-00:00,2022-08-16T22:00:00-00:00,11739.03,3
DAM,2022-08-16,23,DAM_SCHEDULE,2022-08-17T05:00:00-00:00,2022-08-17T06:00:00-00:00,1600.11,3
DAM,2022-08-16,2,DAM_SCHEDULE,2022-08-16T08:00:00-00:00,2022-08-16T09:00:00-00:00,1618.73,3
DAM,2022-08-16,13,DAM_SCHEDULE,2022-08-16T19:00:00-00:00,2022-08-16T20:00:00-00:00,11984.7,3
DAM,2022-08-16,21,DAM_SCHEDULE,2022-08-17T03:00:00-00:00,2022-08-17T04:00:00-00:00,1523.08,3
DAM,2022-08-16,7,DAM_SCHEDULE,2022-08-16T13:00:00-00:00,2022-08-16T14:00:00-00:00,1145.34,3
DAM,2022-08-16,10,DAM_SCHEDULE,2022-08-16T16:00:00-00:00,2022-08-16T17:00:00-00:00,10715.24,3
DAM,2022-08-16,16,DAM_SCHEDULE,2022-08-16T22:00:00-00:00,2022-08-16T23:00:00-00:00,11448.17,3
DAM,2022-08-16,4,DAM_SCHEDULE,2022-08-16T10:00:00-00:00,2022-08-16T11:00:00-00:00,1367.15,3
DAM,2022-08-16,9,DAM_SCHEDULE,2022-08-16T15:00:00-00:00,2022-08-16T16:00:00-00:00,9115.82,3
DAM,2022-08-16,6,DAM_SCHEDULE,2022-08-16T12:00:00-00:00,2022-08-16T13:00:00-00:00,911.9,3
DAM,2022-08-16,12,DAM_SCHEDULE,2022-08-16T18:00:00-00:00,2022-08-16T19:00:00-00:00,12030.77,3
DAM,2022-08-16,17,DAM_SCHEDULE,2022-08-16T23:00:00-00:00,2022-08-17T00:00:00-00:00,10740.22,3
DAM,2022-08-16,8,DAM_SCHEDULE,2022-08-16T14:00:00-00:00,2022-08-16T15:00:00-00:00,4995.08,3
DAM,2022-08-16,11,DAM_SCHEDULE,2022-08-16T17:00:00-00:00,2022-08-16T18:00:00-00:00,11477.22,3
DAM,2022-08-16,19,DAM_SCHEDULE,2022-08-17T01:00:00-00:00,2022-08-17T02:00:00-00:00,4958.28,3
DAM,2022-08-16,3,DAM_SCHEDULE,2022-08-16T09:00:00-00:00,2022-08-16T10:00:00-00:00,1520.81,3
DAM,2022-08-16,14,DAM_SCHEDULE,2022-08-16T20:00:00-00:00,2022-08-16T21:00:00-00:00,11972.29,3
DAM,2022-08-16,24,DAM_SCHEDULE,2022-08-17T06:00:00-00:00,2022-08-17T07:00:00-00:00,1576.37,3
DAM,2022-08-16,1,DAM_SCHEDULE,2022-08-16T07:00:00-00:00,2022-08-16T08:00:00-00:00,1788.64,3
DAM,2022-08-16,5,DAM_SCHEDULE,2022-08-16T11:00:00-00:00,2022-08-16T12:00:00-00:00,1182.99,3
DAM,2022-08-16,18,DAM_SCHEDULE,2022-08-17T00:00:00-00:00,2022-08-17T01:00:00-00:00,9035.95,3
DAM,2022-08-16,20,DAM_SCHEDULE,2022-08-17T02:00:00-00:00,2022-08-17T03:00:00-00:00,1828.93,3
DAM,2022-08-16,22,DAM_SCHEDULE,2022-08-17T04:00:00-00:00,2022-08-17T05:00:00-00:00,1586.32,3
RTD,2022-08-16,1,RTM_SCHEDULE,2022-08-16T07:00:00-00:00,2022-08-16T08:00:00-00:00,1939.04,4
RTD,2022-08-16,20,RTM_SCHEDULE,2022-08-17T02:00:00-00:00,2022-08-17T03:00:00-00:00,988.31,4
RTD,2022-08-16,8,RTM_SCHEDULE,2022-08-16T14:00:00-00:00,2022-08-16T15:00:00-00:00,4874.28,4
RTD,2022-08-16,15,RTM_SCHEDULE,2022-08-16T21:00:00-00:00,2022-08-16T22:00:00-00:00,10474.77,4
RTD,2022-08-16,18,RTM_SCHEDULE,2022-08-17T00:00:00-00:00,2022-08-17T01:00:00-00:00,7684.77,4
RTD,2022-08-16,3,RTM_SCHEDULE,2022-08-16T09:00:00-00:00,2022-08-16T10:00:00-00:00,1250.05,4
RTD,2022-08-16,4,RTM_SCHEDULE,2022-08-16T10:00:00-00:00,2022-08-16T11:00:00-00:00,1083.82,4
RTD,2022-08-16,13,RTM_SCHEDULE,2022-08-16T19:00:00-00:00,2022-08-16T20:00:00-00:00,11989.83,4
RTD,2022-08-16,17,RTM_SCHEDULE,2022-08-16T23:00:00-00:00,2022-08-17T00:00:00-00:00,8842.5,4
RTD,2022-08-16,23,RTM_SCHEDULE,2022-08-17T05:00:00-00:00,2022-08-17T06:00:00-00:00,1045.01,4
RTD,2022-08-16,24,RTM_SCHEDULE,2022-08-17T06:00:00-00:00,2022-08-17T07:00:00-00:00,1425.37,4
RTD,2022-08-16,2,RTM_SCHEDULE,2022-08-16T08:00:00-00:00,2022-08-16T09:00:00-00:00,1678.9,4
RTD,2022-08-16,5,RTM_SCHEDULE,2022-08-16T11:00:00-00:00,2022-08-16T12:00:00-00:00,865.07,4
RTD,2022-08-16,11,RTM_SCHEDULE,2022-08-16T17:00:00-00:00,2022-08-16T18:00:00-00:00,11041.89,4
RTD,2022-08-16,12,RTM_SCHEDULE,2022-08-16T18:00:00-00:00,2022-08-16T19:00:00-00:00,11585.32,4
RTD,2022-08-16,6,RTM_SCHEDULE,2022-08-16T12:00:00-00:00,2022-08-16T13:00:00-00:00,768.44,4
RTD,2022-08-16,16,RTM_SCHEDULE,2022-08-16T22:00:00-00:00,2022-08-16T23:00:00-00:00,9758.1,4
RTD,2022-08-16,19,RTM_SCHEDULE,2022-08-17T01:00:00-00:00,2022-08-17T02:00:00-00:00,4086.86,4
RTD,2022-08-16,21,RTM_SCHEDULE,2022-08-17T03:00:00-00:00,2022-08-17T04:00:00-00:00,741.41,4
RTD,2022-08-16,14,RTM_SCHEDULE,2022-08-16T20:00:00-00:00,2022-08-16T21:00:00-00:00,11566.86,4
RTD,2022-08-16,22,RTM_SCHEDULE,2022-08-17T04:00:00-00:00,2022-08-17T05:00:00-00:00,876.2,4
RTD,2022-08-16,10,RTM_SCHEDULE,2022-08-16T16:00:00-00:00,2022-08-16T17:00:00-00:00,10402.65,4
RTD,2022-08-16,9,RTM_SCHEDULE,2022-08-16T15:00:00-00:00,2022-08-16T16:00:00-00:00,9230.02,4
RTD,2022-08-16,7,RTM_SCHEDULE,2022-08-16T13:00:00-00:00,2022-08-16T14:00:00-00:00,962.11,4
DAM,2022-08-17,24,DAM_FORECAST,2022-08-18T06:00:00-00:00,2022-08-18T07:00:00-00:00,3894.01,5
DAM,2022-08-17,10,DAM_FORECAST,2022-08-17T16:00:00-00:00,2022-08-17T17:00:00-00:00,11888.27,5
DAM,2022-08-17,22,DAM_FORECAST,2022-08-18T04:00:00-00:00,2022-08-18T05:00:00-00:00,3769.51,5
DAM,2022-08-17,9,DAM_FORECAST,2022-08-17T15:00:00-00:00,2022-08-17T16:00:00-00:00,10308.11,5
DAM,2022-08-17,17,DAM_FORECAST,2022-08-17T23:00:00-00:00,2022-08-18T00:00:00-00:00,13146.63,5
DAM,2022-08-17,14,DAM_FORECAST,2022-08-17T20:00:00-00:00,2022-08-17T21:00:00-00:00,13549.53,5
DAM,2022-08-17,13,DAM_FORECAST,2022-08-17T19:00:00-00:00,2022-08-17T20:00:00-00:00,13408.09,5
DAM,2022-08-17,11,DAM_FORECAST,2022-08-17T17:00:00-00:00,2022-08-17T18:00:00-00:00,12739.03,5
DAM,2022-08-17,23,DAM_FORECAST,2022-08-18T05:00:00-00:00,2022-08-18T06:00:00-00:00,3960.8,5
DAM,2022-08-17,21,DAM_FORECAST,2022-08-18T03:00:00-00:00,2022-08-18T04:00:00-00:00,3617.42,5
DAM,2022-08-17,3,DAM_FORECAST,2022-08-17T09:00:00-00:00,2022-08-17T10:00:00-00:00,2119.06,5
DAM,2022-08-17,6,DAM_FORECAST,2022-08-17T12:00:00-00:00,2022-08-17T13:00:00-00:00,1662.16,5
DAM,2022-08-17,7,DAM_FORECAST,2022-08-17T13:00:00-00:00,2022-08-17T14:00:00-00:00,2026.35,5
DAM,2022-08-17,1,DAM_FORECAST,2022-08-17T07:00:00-00:00,2022-08-17T08:00:00-00:00,2247.57,5
DAM,2022-08-17,4,DAM_FORECAST,2022-08-17T10:00:00-00:00,2022-08-17T11:00:00-00:00,2032.05,5
DAM,2022-08-17,20,DAM_FORECAST,2022-08-18T02:00:00-00:00,2022-08-18T03:00:00-00:00,3747.57,5
DAM,2022-08-17,18,DAM_FORECAST,2022-08-18T00:00:00-00:00,2022-08-18T01:00:00-00:00,11476.83,5
DAM,2022-08-17,16,DAM_FORECAST,2022-08-17T22:00:00-00:00,2022-08-17T23:00:00-00:00,13500.69,5
DAM,2022-08-17,8,DAM_FORECAST,2022-08-17T14:00:00-00:00,2022-08-17T15:00:00-00:00,6179.73,5
DAM,2022-08-17,15,DAM_FORECAST,2022-08-17T21:00:00-00:00,2022-08-17T22:00:00-00:00,13610.95,5
DAM,2022-08-17,12,DAM_FORECAST,2022-08-17T18:00:00-00:00,2022-08-17T19:00:00-00:00,13300.31,5
