,RT_LMP,RT_MCC,RT_MCE,RT_MCL,RT_MGHG,DA_LMP,DA_MCC,DA_MCE,DA_MCL,DA_MGHG,Export,Generation,Import,NP15_Solar_Renewable Forecast RTD,NP15_Wind_Renewable Forecast RTD,SP15_Solar_Renewable Forecast RTD,SP15_Wind_Renewable Forecast RTD,ZP26_Solar_Renewable Forecast RTD,renewables_rtd,HLY-CLDH-NORMAL_USW00023129,HLY-CLDH-NORMAL_USW00023174,HLY-CLDH-NORMAL_USW00023188,HLY-HTDH-NORMAL_USW00023129,HLY-HTDH-NORMAL_USW00023174,HLY-HTDH-NORMAL_USW00023188,HLY-TEMP-NORMAL_USW00023129,HLY-TEMP-NORMAL_USW00023174,HLY-TEMP-NORMAL_USW00023188,DART,friday,weekend,hour,Total_Solar_Forecast_RTD,Total_Wind_Forecast_RTD,Total_Wind_Solar_Forecast_RTD,renew_forecast_error,prev_day_renew_forecast_error,prev_day_Export,prev_day_Generation,prev_day_Import
2022-08-01 21:00:00+00:00,113.32980583333334,15.233955,94.24624166666666,3.8496066666666664,0.0,92.8672,-0.09982,92.96702,0.0,0.0,3674.015,32229.829166666666,8132.581666666666,1455.7,174.98,7659.6,173.56,1921.37,10890.03,3.5,1.7,3.8,0.2,0.5,0.1,68.4,66.2,68.7,-20.462605833333342,0,0,21,11036.670000000002,348.53999999999996,11385.210000000003,-495.1800000000021,,,,
2022-08-01 22:00:00+00:00,117.83559666666667,17.160396666666667,98.9187225,1.7564808333333335,0.0,103.66651,4.55426,99.11225,0.0,0.0,3879.1883333333335,32667.635,8547.710833333333,1435.25,187.8,6655.38,297.61,1823.61,9913.08,2.9,1.6,3.6,0.3,0.6,0.1,67.7,66.0,68.5,-14.169086666666672,0,0,22,9914.24,485.41,10399.65,-486.5699999999997,,,,
2022-08-01 23:00:00+00:00,90.93580583333333,9.4650575,81.4707475,0.0,0.0,101.67,1.60485,100.06515,0.0,0.0,3991.19,32572.664166666666,9580.191666666668,1500.56,124.87,5819.81,516.86,1769.85,9405.39,2.6,1.5,3.4,0.3,0.6,0.1,67.2,65.9,68.3,10.734194166666668,0,0,23,9090.220000000001,641.73,9731.95,-326.5600000000013,,,,
2022-08-02 00:00:00+00:00,107.6147175,14.275154166666667,91.22008,2.1194841666666666,0.0,116.26418,0.0,116.26418,0.0,0.0,3764.2666666666664,31737.32416666667,9985.33,1271.64,128.7,4973.55,493.68,1591.02,7477.8,,1.3,3.1,,0.6,0.1,,65.7,68.1,8.649462499999998,0,0,0,7836.210000000001,622.38,8458.59,-980.79,,,,
2022-08-02 01:00:00+00:00,109.09505916666666,18.62335,88.38255083333333,2.089155,0.0,129.33813,3.52916,125.80898,0.0,0.0,3614.879166666667,31233.509166666667,10302.281666666668,1214.7,112.24,3458.72,739.25,1163.22,4895.4,,1.3,3.1,,0.7,0.1,,65.5,68.0,20.24307083333335,0,0,1,5836.64,851.49,6688.13,-1792.7300000000005,,,,
2022-08-02 02:00:00+00:00,104.02103166666666,10.214143333333334,90.48386583333333,3.3230191666666666,0.0,156.8921,0.32252,156.56958,0.0,0.0,3470.183333333333,29776.978333333333,10287.765833333333,531.39,68.99,786.68,1250.1,401.15,2180.78,,1.2,3.0,,0.8,0.2,,65.4,67.8,52.87106833333334,0,0,2,1719.2199999999998,1319.09,3038.3099999999995,-857.5299999999993,,,,
2022-08-02 03:00:00+00:00,94.99025333333333,3.1466208333333334,84.91016666666667,6.933464166666667,0.0,128.1284,0.0,128.1284,0.0,0.0,3117.763333333334,28599.815000000002,10563.906666666668,2.86,29.03,0.32,1499.75,0.99,1695.26,,1.1,2.8,,0.8,0.2,,65.3,67.6,33.13814666666667,0,0,3,4.17,1528.78,1532.95,162.30999999999995,,,,
2022-08-02 04:00:00+00:00,92.52677833333333,0.5217608333333333,84.59291416666666,7.412106666666666,0.0,119.33,0.0,119.33,0.0,0.0,2894.015,27099.515,10138.420833333334,0.0,3.35,0.0,2014.33,0.0,2010.42,,1.1,2.7,,0.8,0.2,,65.2,67.5,26.803221666666673,0,0,4,0.0,2017.6799999999998,2017.6799999999998,-7.2599999999997635,,,,
2022-08-02 05:00:00+00:00,97.85745250000001,0.0,89.77019583333333,8.0872575,0.0,95.69749,-2.93159,100.96129,-2.33221,0.0,2007.555833333333,24493.414999999997,10023.990833333333,0.0,1.4,0.0,1929.91,0.0,1895.49,1.6,1.0,2.7,0.7,0.9,0.2,65.9,65.2,67.5,-2.159962500000006,0,0,5,0.0,1931.3100000000002,1931.3100000000002,-35.820000000000164,,,,
2022-08-02 06:00:00+00:00,79.73196833333334,-0.07899083333333333,73.94607083333334,5.864888333333333,0.0,82.10982,-5.72187,89.70656,-1.87487,0.0,1842.2616666666665,22122.045,9764.2175,0.0,2.16,0.0,1919.8,0.0,2082.57,1.9,1.4,2.9,0.5,0.6,0.2,66.4,65.8,67.6,2.3778516666666576,0,0,6,0.0,1921.96,1921.96,160.61000000000013,,,,
2022-08-02 07:00:00+00:00,74.52799166666667,-1.2983283333333333,70.25114916666666,5.57517,0.0,75.29748,-3.96743,81.48957,-2.22467,0.0,2016.4708333333335,20225.6325,9975.021666666666,0.0,8.16,0.0,2264.65,0.0,2300.96,3.3,2.6,3.4,0.2,0.3,0.1,68.1,67.3,68.3,0.769488333333328,0,0,7,0.0,2272.81,2272.81,28.15000000000009,-3.8599999999999,1713.0491666666667,19642.9325,8977.858333333334
2022-08-02 08:00:00+00:00,70.83957916666667,-4.23589,69.43169,5.643778333333334,0.0,73.69887,-3.89213,79.62952,-2.03852,0.0,1772.8400000000001,18440.730833333335,9978.681666666665,0.0,4.19,0.0,2282.63,0.0,2054.86,5.6,4.5,4.7,0.1,0.1,0.1,70.5,69.4,69.6,2.8592908333333327,0,0,8,0.0,2286.82,2286.82,-231.96000000000004,73.07999999999993,1704.0441666666666,17922.9325,8900.603333333333
2022-08-02 09:00:00+00:00,68.89511166666666,-3.0086625,66.10189416666667,5.8018825000000005,0.0,70.79848,-3.45075,75.73361,-1.48438,0.0,1723.5475,16744.916666666668,10160.368333333334,0.0,5.65,0.0,1828.09,0.0,1822.56,8.1,6.3,6.2,-777.7,-777.7,-777.7,73.1,71.3,71.2,1.9033683333333329,0,0,9,0.0,1833.74,1833.74,-11.180000000000064,-121.73000000000002,1684.7958333333333,17019.880833333333,9009.977499999999
2022-08-02 10:00:00+00:00,66.37521166666666,-2.5732075,63.43259833333334,5.515820000000001,0.0,70.55567,-2.17974,74.35638,-1.62097,0.0,1654.0900000000001,16068.096666666666,10162.365,0.0,72.76,0.0,1741.46,0.0,1700.24,10.1,7.4,7.6,0.0,-777.7,-777.7,75.1,72.3,72.6,4.180458333333348,0,0,10,0.0,1814.22,1814.22,-113.98000000000002,-233.74,1675.4216666666669,16178.835,9270.408333333333
2022-08-02 11:00:00+00:00,69.4525375,-2.807795,66.41371916666667,5.846615833333334,0.0,70.5128,-3.9146,75.93858,-1.51118,0.0,1630.1308333333334,16228.400833333333,10208.404166666667,0.0,65.55,0.0,1417.18,0.0,1280.16,11.8,8.2,8.7,0.0,-777.7,0.0,76.8,73.2,73.7,1.0602624999999932,0,0,11,0.0,1482.73,1482.73,-202.56999999999994,79.52999999999997,1676.0475,16574.642499999998,9150.859166666667
2022-08-02 12:00:00+00:00,73.274245,1.690345,66.03791916666667,5.54598,0.0,76.33749,-2.9868,81.59256,-2.26827,0.0,1649.7358333333334,17488.905000000002,10244.245833333332,0.0,46.92,0.0,1028.9,0.0,1129.01,13.3,8.4,9.3,0.0,-777.7,0.0,78.3,73.4,74.3,3.063245000000009,0,0,12,0.0,1075.8200000000002,1075.8200000000002,53.18999999999983,-100.43000000000006,1727.595,17637.314166666667,8716.9175
2022-08-02 13:00:00+00:00,73.44057500000001,-2.530605,70.70983916666667,5.261341666666667,0.0,88.72697,-3.22527,94.24233,-2.29009,0.0,2029.7666666666667,18938.225833333334,9727.901666666667,0.19,93.81,8.58,1081.82,0.06,1983.49,14.6,8.5,9.5,0.0,0.0,0.0,79.6,73.5,74.5,15.286394999999985,0,0,13,8.83,1175.6299999999999,1184.4599999999998,799.0300000000002,531.7299999999999,2351.3891666666664,19259.881666666668,8628.064166666667
2022-08-02 14:00:00+00:00,59.88451333333333,-12.983373333333333,69.61483916666667,3.2530483333333335,0.0,75.91323,0.0,79.13398,-3.22075,0.0,2052.1633333333334,21037.045000000002,9366.915833333334,224.67,111.08,2049.99,1215.08,237.48,6135.24,15.3,8.2,9.5,0.0,0.0,0.0,80.3,73.2,74.5,16.028716666666668,0,0,14,2512.14,1326.1599999999999,3838.2999999999997,2296.94,1096.1799999999998,2247.0475,20484.900833333333,7702.329166666666
2022-08-02 15:00:00+00:00,44.82075916666667,0.0,43.67228666666667,1.1484716666666668,0.0,69.07625,0.0,72.17245,-3.0962,0.0,2176.1666666666665,23358.296666666665,8932.949166666667,1153.13,87.07,5537.85,914.52,993.55,10075.66,15.4,7.6,9.1,0.0,-777.7,0.0,80.4,72.6,74.1,24.255490833333333,0,0,15,7684.530000000001,1001.5899999999999,8686.12,1389.539999999999,1486.8900000000012,2330.508333333333,22607.125833333335,6992.901666666666
2022-08-02 16:00:00+00:00,32.433035833333335,0.0,31.572872500000003,0.8601641666666667,0.0,68.10812,-0.50984,71.55158,-2.93361,0.0,2304.6625,25180.338333333333,8720.455833333333,1510.39,88.86,7368.73,823.16,1557.4,11785.18,14.3,6.6,8.4,0.0,-777.7,-777.7,79.3,71.6,73.4,35.675084166666664,0,0,16,10436.519999999999,912.02,11348.539999999999,436.64000000000124,604.0100000000011,2608.1408333333334,23569.9825,6901.9725
2022-08-02 17:00:00+00:00,53.4474025,0.0,51.94143833333333,1.505965,0.0,69.8813,0.0,72.91454,-3.03324,0.0,2397.71,26374.439166666667,8829.939166666667,1763.48,39.45,8101.02,646.27,1811.34,12449.44,12.4,5.4,7.5,0.0,-777.7,-777.7,77.4,70.3,72.5,16.433897499999993,0,0,17,11675.84,685.72,12361.56,87.88000000000102,868.619999999999,2612.72,25192.559999999998,6899.0
