INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,VALUE,OPR_INTERVAL,GROUP
2022-08-29T08:35:00-00:00,2022-08-29T08:40:00-00:00,2022-08-29,02,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-0.0012,8,1
2022-08-29T08:40:00-00:00,2022-08-29T08:45:00-00:00,2022-08-29,02,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,0,9,1
2022-08-29T08:45:00-00:00,2022-08-29T08:50:00-00:00,2022-08-29,02,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-0.0012,10,1
2022-08-29T08:50:00-00:00,2022-08-29T08:55:00-00:00,2022-08-29,02,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,0,11,1
2022-08-29T08:55:00-00:00,2022-08-29T09:00:00-00:00,2022-08-29,02,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-0.0012,12,1
2022-08-29T09:00:00-00:00,2022-08-29T09:05:00-00:00,2022-08-29,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-3.68815,1,1
2022-08-29T09:05:00-00:00,2022-08-29T09:10:00-00:00,2022-08-29,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-2.65204,2,1
2022-08-29T09:10:00-00:00,2022-08-29T09:15:00-00:00,2022-08-29,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-2.65204,3,1
2022-08-29T09:15:00-00:00,2022-08-29T09:20:00-00:00,2022-08-29,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-2.63139,4,1
2022-08-29T09:20:00-00:00,2022-08-29T09:25:00-00:00,2022-08-29,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-2.63428,5,1
2022-08-29T09:25:00-00:00,2022-08-29T09:30:00-00:00,2022-08-29,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-2.64363,6,1
2022-08-29T09:30:00-00:00,2022-08-29T09:35:00-00:00,2022-08-29,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-0.03647,7,1
2022-08-29T09:35:00-00:00,2022-08-29T09:40:00-00:00,2022-08-29,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-0.0024,8,1
2022-08-29T09:40:00-00:00,2022-08-29T09:45:00-00:00,2022-08-29,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,0,9,1
2022-08-29T09:45:00-00:00,2022-08-29T09:50:00-00:00,2022-08-29,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,0,10,1
