INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,VALUE,OPR_INTERVAL,GROUP
2022-08-22T08:30:00-00:00,2022-08-22T08:35:00-00:00,2022-08-22,02,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-4.33512,7,1
2022-08-22T08:35:00-00:00,2022-08-22T08:40:00-00:00,2022-08-22,02,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-4.4365,8,1
2022-08-22T08:40:00-00:00,2022-08-22T08:45:00-00:00,2022-08-22,02,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-4.34738,9,1
2022-08-22T08:45:00-00:00,2022-08-22T08:50:00-00:00,2022-08-22,02,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-4.43748,10,1
2022-08-22T08:50:00-00:00,2022-08-22T08:55:00-00:00,2022-08-22,02,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-4.36766,11,1
2022-08-22T08:55:00-00:00,2022-08-22T09:00:00-00:00,2022-08-22,02,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-4.36766,12,1
2022-08-22T09:00:00-00:00,2022-08-22T09:05:00-00:00,2022-08-22,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-3.00046,1,1
2022-08-22T09:05:00-00:00,2022-08-22T09:10:00-00:00,2022-08-22,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-3.03143,2,1
2022-08-22T09:10:00-00:00,2022-08-22T09:15:00-00:00,2022-08-22,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-3.13861,3,1
2022-08-22T09:15:00-00:00,2022-08-22T09:20:00-00:00,2022-08-22,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-1.02742,4,1
2022-08-22T09:20:00-00:00,2022-08-22T09:25:00-00:00,2022-08-22,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-2.1952,5,1
2022-08-22T09:25:00-00:00,2022-08-22T09:30:00-00:00,2022-08-22,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-4.43594,6,1
2022-08-22T09:30:00-00:00,2022-08-22T09:35:00-00:00,2022-08-22,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-4.53648,7,1
2022-08-22T09:35:00-00:00,2022-08-22T09:40:00-00:00,2022-08-22,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-4.53648,8,1
2022-08-22T09:40:00-00:00,2022-08-22T09:45:00-00:00,2022-08-22,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-3.64154,9,1
2022-08-22T09:45:00-00:00,2022-08-22T09:50:00-00:00,2022-08-22,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-1.69336,10,1
